[Source: Wikipedia](https://en.wikipedia.org/wiki/Monopoly_(game))
[Updated: August 8, 2018]
Leicester Square
Fenchurch Street Station
Whitechapel Road
Mayfair
Pentonville Road
Electric Company
Trafalgar Square
Fleet Street
Strand
Piccadilly
Old Kent Road
Vine Street
Oxford Street
The Angel Islington
Regent Street
Park Lane
Bond Street
Marylebone Station
King’s Cross Station
Liverpool Street Station
Pall Mall
Bow Street
Whitehall
Marlborough Street
Coventry Street
Euston Road
Northumberland Avenue
Water Works
