[Source: Wikipedia](https://en.wikipedia.org/wiki/Monopoly_(game))
[Updated: August 8, 2018]
Atlantic Avenue
B & O Railroad
Baltic Avenue
Boardwalk
Connecticut Avenue
Electric Company
Illinois Avenue
Indiana Avenue
Kentucky Avenue
Marvin Gardens
Mediterranean Avenue
New York Avenue
North Carolina Avenue
Oriental Avenue
Pacific Avenue
Park Place
Pennsylvania Avenue
Pennsylvania Railroad
Reading Railroad
Short Line
St. Charles Place
St. James Place
States Avenue
Tennessee Avenue
Ventnor Avenue
Vermont Avenue
Virginia Avenue
Water Works
